house_id	housedel_id	house_code	standard_id	city_code	bizcircle_code	resblock_id	resblock_name	building_id	building_no	floor_name	floor_ftr	bedroom_amount	parlor_amount	toilet_amount	cookroom_amount	build_size	face_code	face_ftr	face_ftr_new	build_end_year	build_end_year_ftr	build_end_year_ftr_new	is_sales_tax_ftr	is_sole_ftr	property_fee_ptr	distance_metor_code_ftr	is_school_district_ftr	fitment_type_code	fitment_ftr	total_floor_ftr	floor_scale	dealdate	dealdate_ftr	dealdate_ftr_new	realmoney	realmoney_wan	scale	uscale	balcony_amount_ftr	frame_structure	frame_structure_ftr	garden_amount_ftr	terrace_amount_ftr	balcony_area_ftr
13337581	217840502	BJCY88764604	1115042697738	110000	18335713	1111027374303	富力又一城C区	1112041800386	16	5	5	2	2	1	1	89.22	100500000003	0	2.0	2011	71	-4	3	0	2.2	5	1	112100000004	3	22	0.227272727273	20150419	183	3	2480000.0	248.0	1.03059862492	1.03059862492	1	304400000001	1	0	0	0.0
15582534	218817860	BJCY89741712	1115031444094	110000	18335713	1111027374303	富力又一城C区	1112027397071	3	22	22	2	1	1	1	91.0	100500000003;100500000007;	0	3.0	2002	62	-13	3	0	2.2	4	1	112100000004	3	22	0.5	20150725	186	0	2780000.0	278.0	1.0	1.0	1	304400000001	1	0	0	0.0
13128190	214887938	BJCY85814911	1115030695994	110000	18335713	1111027374303	富力又一城C区	1112027438401	12	15	15	2	1	1	1	86.42	100500000005;100500000007	0	0	2010	70	-5	1	0	2.2	0	0	112100000004	3	23	0.652173913043	20130509	160	26	2050000.0	205.0	1.08111095513	1.08111095513	1	304400000001	1	0	0	0.0
15484903	218647786	BJCY89571678	1115030318513	110000	18335713	1111027374303	富力又一城C区	1112027438401	12	12	12	2	1	1	1	87.71	100500000003;	0	2.0	2011	71	-4	3	1	2.2	1	1	112100000004	3	23	0.521739130435	20150613	185	1	2660000.0	266.0	1.00491492955	1.00491492955	1	304400000001	1	0	0	0.0
4786885	216963787	BJCY87887949	1115034338466	110000	18335713	1111027374303	富力又一城C区	1112027429261	11	9	9	1	0	1	1	47.0	100500000003	0	2.0	2009	69	-6	1	0	2.2	4	0	NULL	3	18	0.5	20141102	178	8	1230000.0	123.0	1.01054569457	1.01054569457	1	304400000001	1	0	0	0.0
13076755	214760175	BJCY85687148	1115040910919	110000	18335713	1111027374303	富力又一城C区	1112027425772	9	21	21	4	2	3	1	216.67	100500000003;100500000007	0	3.0	2010	70	-5	0	1	2.2	0	0	112100000004	3	18	1.16666666667	20130914	164	22	5660000.0	566.0	1.03462126446	1.03462126446	2	304400000001	1	0	0	0.0
15339059	218382347	BJCY89306273	1115033942199	110000	18335713	1111027374303	富力又一城C区	1112027425772	9	8	8	3	2	2	1	155.0	100500000003;100500000007;	0	3.0	2011	71	-4	3	0	2.2	4	1	112100000004	3	18	0.444444444444	20150523	184	2	4280000.0	428.0	1.02198250286	1.02198250286	2	304400000001	1	0	0	0.0
8768723	218224870	BJCY89148795	1115031683250	110000	18335713	1111027374303	富力又一城C区	1112027397071	3	26	26	2	2	1	1	89.46	100500000003	0	2.0	2010	70	-5	3	0	2.2	4	1	112100000004	3	22	1.18181818182	20150410	183	3	2300000.0	230.0	1.03059862492	1.03059862492	1	304400000001	1	0	0	0.0
7408308	218526559	BJCY89450485	1115030266488	110000	18335713	1111027374303	富力又一城C区	1112027429261	11	12	12	1	0	1	1	47.0	100500000003	0	2.0	2003	63	-12	3	1	2.2	4	1	112100000004	3	18	0.666666666667	20150614	185	1	1200000.0	120.0	1.00491492955	1.00491492955	1	304400000001	1	0	0	0.0
14163906	215654873	BJCY86581856	1115030207797	110000	18335713	1111027374303	富力又一城C区	1112027439136	13	11	11	1	0	1	1	47.09	100500000003	0	2.0	2010	70	-5	1	1	2.2	0	0	112100000004	3	18	0.611111111111	20131019	165	21	1515000.0	151.5	0.939172935296	0.939172935296	1	304400000001	1	0	0	0.0
13691034	214662397	BJCY85589370	1115030261277	110000	18335713	1111027374303	富力又一城C区	1112027401268	5	12	12	2	2	1	1	86.49	100500000001;100500000007	0	0	2010	70	-5	1	0	2.2	0	0	112100000004	3	23	0.521739130435	20130612	161	25	2250000.0	225.0	1.05689492943	1.05689492943	1	304400000001	1	0	0	0.0
13044386	214572232	BJCY85499205	1115029498586	110000	18335713	1111027374303	富力又一城C区	1112027429261	11	10	10	2	2	1	1	90.0	100500000003	0	2.0	2009	69	-6	1	0	2.2	0	0	112100000004	3	18	0.555555555556	20130717	162	24	2400000.0	240.0	1.00430772155	1.00430772155	1	304400000001	1	0	0	0.0
14560628	218000196	BJCY88924221	1115053987783	110000	18335713	1111027374303	富力又一城C区	1112046913402	18	10	10	1	0	1	1	54.0	100500000001	0	1.0	2010	70	-5	1	1	4.5	4	1	NULL	3	19	0.526315789474	20150319	182	4	1180000.0	118.0	1.08524116776	1.08524116776	0	NULL	1	0	0	0
